title,year,journal,impact_factor,molecule_name,molecule_cid,molecule_smiles,molecule_type,functional_groups,role,interface_location,pce_max,voc,jsc,ff,perovskite_type,stability
Interface Regulation for Efficient and Stable Perovskite Solar Cells through Potassium Citrate Molecules,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,potassium citrate (PC),2735208,,,K+; -COO-,passivates interface defects between perovskite and SnO2 layers,between perovskite and SnO2 layers,22.79,,,,,PCE retention after storage: 87.6 % (2850 h storage in ambient environment); PCE retention under illumination: 95.5 % (1-sun continuous illumination for 1000 h)
Retardation of Trap-Assisted Recombination in Lead Halide Perovskite Solar Cells by a Dimethylbiguanide Anchor Layer,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,dimethylbiguanide (DMBG),,,small molecule interfacial anchor layer,nitrogen-containing functional groups,interfacial anchor layer,at the interface between perovskite and charge transporting layer,19.1,,,,organic-inorganic hybrid perovskites,stability: None None (None)
When Aggregation-Induced Emission Meets Perovskites: Efficient Defect-Passivation and Charge-Transfer for Ambient Fabrication of Perovskite Solar Cells,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,"tetraphenylethene-2-dicyano-methylene-3-cyano-4,5,5-trimethyl-2,5-dihydrofuran (TPE-TCF)",,,donor-acceptor (D-A) structured aggregation-induced emission (AIE) molecule,"tetraphenylethene; 2-dicyano-methylene; 3-cyano; 4,5,5-trimethyl; 2,5-dihydrofuran",additive introduced into perovskite film,"interacts with uncoordinated Pb in perovskite, affects grain boundaries",19.66,,,,methylammonium lead iodide-based,PCE retention: 86 % (after 300 h storage in air at 25-35 degrees C with a high relative humidity (RH) of. 85%)
When Aggregation-Induced Emission Meets Perovskites: Efficient Defect-Passivation and Charge-Transfer for Ambient Fabrication of Perovskite Solar Cells,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,PbI2.TPETCF,,,,,relatively stable intermediate,formed by interaction between cyano of TPE-TCF and uncoordinated Pb,19.66,,,,methylammonium lead iodide-based,PCE retention: 86 % (after 300 h storage in air at 25-35 degrees C with a high relative humidity (RH) of. 85%)
"2,2′-Bipyridine-4,4′-dicarboxylic Acid-Mediated Surface Engineering of Mn-Doped CsPbCl3 Perovskite Nanocrystals",,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,"2,2 '-bipyridine-4,4 '-dicarboxylic acid (BPY)",,,small organic molecule,carboxyl groups; pyridine nitrogen,passivating additive,post-synthesis surface passivation,,,,,CsPbCl3 perovskite nanocrystals (PNCs),thermal stability: None None (under ambient conditions); photostability: None None (UV light irradiation)
"A 2,1,3-Benzooxadiazole Moiety in a D-A-D-type Hole-Transporting Material for Boosting the Photovoltage in Perovskite Solar Cells",,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,BTPA-3,,,a donor acceptor donor molecule; hole transporting material (HTM),"2,1,3-benzooxadiazole moiety",employed as a hole transporting material (HTM) for ... perovskite solar cells (PSCs),hole-transport layer,13.2,1.41,,,Cs-0.05(MA(0.17)FA(0.83))(0.95)Pb(I0.83Br0.17)(3)- and CH3NH3PbBr3-based perovskite solar cells (PSCs),long-term stability: None None (None)
"A 2,1,3-Benzooxadiazole Moiety in a D-A-D-type Hole-Transporting Material for Boosting the Photovoltage in Perovskite Solar Cells",,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,spiro-OMeTAD,16161850,,hole transporting material (HTM),,hole transporting material (HTM) (used for comparison),hole-transport layer,13.2,1.41,,,Cs-0.05(MA(0.17)FA(0.83))(0.95)Pb(I0.83Br0.17)(3)- and CH3NH3PbBr3-based perovskite solar cells (PSCs),long-term stability: None None (None)
"A 2,1,3-Benzooxadiazole Moiety in a D-A-D-type Hole-Transporting Material for Boosting the Photovoltage in Perovskite Solar Cells",,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,BTP4-3,,,HTM,,HTM,hole-transport layer,13.2,1.41,,,Cs-0.05(MA(0.17)FA(0.83))(0.95)Pb(I0.83Br0.17)(3)- and CH3NH3PbBr3-based perovskite solar cells (PSCs),long-term stability: None None (None)
A Combined Theoretical and Experimental Study of CH3NH3PbI3 Containing AVAI Films Prepared via an Intramolecular Exchange Process,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,CH3NH3I,,,perovskite precursor,,perovskite precursor,,,,,,Methylammonium lead iodide (CH3NH3PbI3),stability: None None (None)
A Combined Theoretical and Experimental Study of CH3NH3PbI3 Containing AVAI Films Prepared via an Intramolecular Exchange Process,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,5-ammonium valeric acid iodide (HOOC(CH2)(4)NH3I or AVAI),,,additive,,added to perovskite precursors to improve the stability of CH3NH3PbI3,into the CH3NH3PbI3 structure,,,,,Methylammonium lead iodide (CH3NH3PbI3),stability: None None (None)
A Combined Theoretical and Experimental Study of CH3NH3PbI3 Containing AVAI Films Prepared via an Intramolecular Exchange Process,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,dimethyl sulfoxide,,,,,intercalated species in organic lead iodide complexes that is exchanged with CH3NH3+ during intramolecular exchange,intercalated in the complexes,,,,,Methylammonium lead iodide (CH3NH3PbI3),stability: None None (None)
A Rising Star: Truxene as a Promising Hole Transport Material in Perovskite Solar Cells,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,Truxene,68355,,promising dopant-free hole transport materials (HTMs),,promising dopant-free hole transport materials (HTMs) in perovskite solar cells (PSCs),perovskite solar cells (PSCs),,,,,perovskite solar cells (PSCs),stability properties: None None (None)
A Rising Star: Truxene as a Promising Hole Transport Material in Perovskite Solar Cells,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,Spiro-OMeTAD,16161850,,current state-of-the-art HTM,,current state-of-the-art HTM,,,,,,perovskite solar cells (PSCs),stability properties: None None (None)
Ab Initio Thermodynamic Study of PbI2 and CH3NH3PbI3 Surfaces in Reaction with CH3NH2 Gas for Perovskite Solar Cells,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,CH3NH2 molecule,,,,,adsorbate,PbI2(001) surfaces,,,,,cubic CH3NH3PbI3 (MAPbI(3)),material stability: None None (None)
Ab Initio Thermodynamic Study of PbI2 and CH3NH3PbI3 Surfaces in Reaction with CH3NH2 Gas for Perovskite Solar Cells,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,HI,24841,,,,additive,,,,,,cubic CH3NH3PbI3 (MAPbI(3)),material stability: None None (None)
Ab Initio Thermodynamic Study of PbI2 and CH3NH3PbI3 Surfaces in Reaction with CH3NH2 Gas for Perovskite Solar Cells,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,NH4I molecule,,,,,additive,,,,,,cubic CH3NH3PbI3 (MAPbI(3)),material stability: None None (None)
Ab Initio Thermodynamic Study of PbI2 and CH3NH3PbI3 Surfaces in Reaction with CH3NH2 Gas for Perovskite Solar Cells,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,MAI,,,,,surface termination,MAI-terminated (100) surfaces,,,,,cubic CH3NH3PbI3 (MAPbI(3)),material stability: None None (None)
Cyclopentylethanamine Hydroiodide for Efficient and Stable 2D/3D Hybrid Perovskite Solar Cells,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,cyclopentanethylamine hydroiodate (CPEAI),,,amine salt,,in situ growth of 2D passivation layers on 3D perovskite surfaces,on 3D perovskite surfaces,23.2,,,,2D/3D halide perovskite,efficiency retention (CPEAI-treated): 89.5 % (1000 h of exposure to air with approximately 40% relative humidity); efficiency retention (control): 76.1 % (1000 h of exposure to air with approximately 40% relative humidity)
"Effect of Water on the Structural, Optical, and Hot-Carrier Cooling Properties of the Perovskite Material MASnI3",,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,CH3NH3SnI3,,,Sn-based hybrid perovskite,,subject of study,,,,,,Sn-based hybrid perovskite CH3NH3SnI3,
"Effect of Water on the Structural, Optical, and Hot-Carrier Cooling Properties of the Perovskite Material MASnI3",,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,CH3NH3SnI3 center dot H2O,,,monohydrated phase,,subject of study (monohydrated phase),,,,,,Sn-based hybrid perovskite CH3NH3SnI3,
First-Principles Insight into the Degradation Mechanism of CH3NH3PbI3 Perovskite: Light-Induced Defect Formation and Water Dissociation,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,CH3NH2,6329,,molecule,,product of interaction between OH- and CH3NH3+ that accelerates ort-CH3NH3PbI3 degradation,,,,,,orthorhombic CH3NH3PbI3 (ort-CH3NH3PbI3),H2O dissociation barrier (decrease): 0.57 eV (with a photogenerated electron involved)
"First-Principles Investigation of Oxygen and Water Adsorption on (010), (100), and (111) Surfaces of BaZrS3 Chalcogenide Perovskite",,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,BaZrS3,,,,,solar absorber; surface material,"the three most stable (010), (100), and (111) surfaces",,,,,,durability: None None (exposure to ambient conditions)
Improving Photovoltaic Stability and Performance of Perovskite Solar Cells by Molecular Interface Engineering,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,1-donecyl mercaptan (NDM),,,hydrophobic molecule,,modify the interface,between MAPbI(3) and a hole transport layer (HTL),15.04,,,,MAPbI(3),antimoisture characteristics: None None (None)
Integrated Experimental and Theoretical Approach for Efficient Design and Synthesis of Gold-Based Double Halide Perovskites,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,(Cs2AuAuCl6)-Au-I-Cl-III,,,perovskite,,synthesized material,,,,,,"tetragonal (Cs2AuAuX6)-Au-I-X-III (X = I, Br, Cl)",crystallinity: high None (None); synthesis_temperature: relatively low None (None)
Integrated Experimental and Theoretical Approach for Efficient Design and Synthesis of Gold-Based Double Halide Perovskites,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,toluene,1140,,compound,,target of photocatalytic degradation reaction,,,,,,"tetragonal (Cs2AuAuX6)-Au-I-X-III (X = I, Br, Cl)",crystallinity: high None (None); synthesis_temperature: relatively low None (None)
Investigation on Enhanced Moisture Resistance of Two-Dimensional Layered Hybrid Organic Inorganic Perovskites (C4H9NH3)2PbI4,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,(C4H9NH3)(2)PbI4,,,two-dimensional layered hybrid organic inorganic perovskite,C4H9NH3 groups,to represent the two-dimensional layered hybrid organic inorganic perovskites,surfaces,,,,,two-dimensional layered hybrid organic inorganic perovskites,energy barrier to H2O penetration: 3.46 eV (C4H9NH3-terminated surface); energy barrier comparison: None None (MAPbI(3) surface)
Optimization of Band Alignment by Organic Molecules for Perovskite Solar Cells,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,3PATAT-C3,,,hole-collecting monolayer (HCM) material,alkyl phosphonic acid anchoring groups; triazatruxene derivative,hole-collecting monolayer (HCM) material,on indium tin oxide (ITO),,,,,,stability: None None (None)
Optimization of Band Alignment by Organic Molecules for Perovskite Solar Cells,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,2PACz,154704302,,hole-collecting monolayer (HCM) material,alkyl phosphonic acid anchoring groups; carbazole-based,hole-collecting monolayer (HCM) material,on indium tin oxide (ITO),,,,,,stability: None None (None)
Organic-Inorganic Halide Perovskite Formation: In Situ Dissociation of Cation Halide and Metal Halide Complexes during Crystal Formation,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,CH3NH3I,,,cation halide,,precursor,,,,,,Organic inorganic halide perovskites,
Organic-Inorganic Halide Perovskite Formation: In Situ Dissociation of Cation Halide and Metal Halide Complexes during Crystal Formation,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,CH3I,6328,,molecule,,produced component; can act as defect,mostly trapped in the perovskite crystals,,,,,Organic inorganic halide perovskites,
Organic-Inorganic Halide Perovskite Formation: In Situ Dissociation of Cation Halide and Metal Halide Complexes during Crystal Formation,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,NH3,222,,molecule,,produced component; can act as defect,mostly trapped in the perovskite crystals,,,,,Organic inorganic halide perovskites,
"Pyrene-Cored Starburst Oligofluorenes with Diphenylamine End-Cappers: Design, Synthesis, Stabilized Optical Gain, and Lasing Properties",,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,P1F,44450094,,starburst conjugated molecule,pyrene core; diphenylamine end-cappers; oligofluorene bridge,robust gain media for organic lasers,,,,,,,T-d (the temperature with 5% weight loss): None degrees C (None); net gain coefficients: None cm(-1) (stabilized EL and ASE); waveguide loss: None cm(-1) (stabilized EL and ASE); lasing threshold: 2.1 kW cm(-2) (at 475 nm for P2F)
Regulating Interfacial Coupling and Electron Transport for Efficient Electron-Transporting Materials,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,NDI-ID,,,organic electron-transporting material (ETM),,model molecular skeleton,ETM-perovskite interfacial coupling,,,,,,
Regulating Interfacial Coupling and Electron Transport for Efficient Electron-Transporting Materials,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,NF2X-ID,,,Modified naphthalimide derivative,,,ETM-perovskite interfacial coupling,,,,,,
"Role of Ligand-Ligand Interactions in the Stabilization of Thin Layers of Tin Bromide Perovskite: An Ab Initio Study of the Atomic and Electronic Structure, and Optical Properties",,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,EA2SnBr4,,,two-dimensional (2D) hybrid halide perovskite,,one-unit-cell thick layer (R2SnBr4 with R = EA),one-unit-cell thick layers,,,,,two-dimensional (2D) hybrid halide perovskites,comparative stability: None None (None); stability enhancement: None None (None)
"Role of Ligand-Ligand Interactions in the Stabilization of Thin Layers of Tin Bromide Perovskite: An Ab Initio Study of the Atomic and Electronic Structure, and Optical Properties",,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,BA2SnBr4,,,two-dimensional (2D) hybrid halide perovskite,,one-unit-cell thick layer; system connecting neighboring perovskite layers in 2D-3D system,one-unit-cell thick layers; surface ligands connect neighboring perovskite layers,,,,,two-dimensional (2D) hybrid halide perovskites,comparative stability: None None (None); stability enhancement: None None (None)
"Role of Ligand-Ligand Interactions in the Stabilization of Thin Layers of Tin Bromide Perovskite: An Ab Initio Study of the Atomic and Electronic Structure, and Optical Properties",,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,PEA2SnBr4,,,two-dimensional (2D) hybrid halide perovskite,,one-unit-cell thick layer (R2SnBr4 with R = PEA),one-unit-cell thick layers,,,,,two-dimensional (2D) hybrid halide perovskites,comparative stability: None None (None); stability enhancement: None None (None)
Rubidium Iodide-Doped Spiro-OMeTAD as a Hole-Transporting Material for Efficient Perovskite Photodetectors,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,"2,2',7,7'-Tetrakis-(N,N-di-p-methoxyphenylamine)-9,9'-spirobifluorene (spiro-OMeTAD)",,,,,hole transport material / hole transport layer (HTL) when RbI-doped,hole transport layer (HTL) for perovskite photodetectors,,,,,,specific detectivity: 37700000000000.0 Jones (None); linear dynamic range: 114 dB (None)
Rubidium Iodide-Doped Spiro-OMeTAD as a Hole-Transporting Material for Efficient Perovskite Photodetectors,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,bis-(trifluoromethane)sulfonamide lithium salt (Li-TFSI),,,,,additive/dopant,,,,,,,specific detectivity: 37700000000000.0 Jones (None); linear dynamic range: 114 dB (None)
Rubidium Iodide-Doped Spiro-OMeTAD as a Hole-Transporting Material for Efficient Perovskite Photodetectors,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,4-tertbutylpyridine (TBP),19878,,,,additive/dopant,,,,,,,specific detectivity: 37700000000000.0 Jones (None); linear dynamic range: 114 dB (None)
Stability of Organic Cations in Solution-Processed CH3NH3PbI3 Perovskites: Formation of Modified Surface Layers,,JOURNAL OF PHYSICAL CHEMISTRY C,3.7,methylammonium iodide (CH3NH3I),519034,,,,prepared from a solution of lead chloride (PbCl2) and methylammonium iodide (CH3NH3I),,,,,,pure iodide perovskite (CH3NH3PbI3),
